entry_time,exit_time,side,lots,entry_price,exit_price,entry_fill,exit_fill,bars_held,reason,gross_pnl,commission,net_pnl,equity_after
2026-02-17 10:00:00+00:00,2026-02-17 13:00:00+00:00,-1,0.03,4925.68,4876.228860328817,4925.530000000001,4876.378860328817,3,tp,148.35341901354968,0.21,147.24341901355186,10602.763117386032
2026-02-17 13:00:00+00:00,2026-02-17 14:00:00+00:00,-1,0.03,4931.93,4883.887422063561,4931.780000000001,4884.03742206356,1,tp,144.12773380931867,0.21,143.01773380932084,10745.780851195354
2026-02-17 19:00:00+00:00,2026-02-18 04:00:00+00:00,-1,0.02,4898.84,4929.018838665943,4898.6900000000005,4929.218838665943,8,sl,-60.3576773318855,0.14,-61.19767733188441,10684.58317386347
2026-02-18 04:00:00+00:00,2026-02-18 12:00:00+00:00,-1,0.03,4920.79,4946.348200069416,4920.59,4946.498200069415,8,sl,-76.67460020824728,0.21,-77.93460020824564,10606.648573655224
2026-02-18 12:00:00+00:00,2026-02-18 13:00:00+00:00,-1,0.04,4913.14,4933.181021078379,4912.990000000001,4933.331021078378,1,sl,-80.16408431351374,0.28,-81.64408431351083,10525.004489341713
2026-02-18 13:00:00+00:00,2026-02-18 14:00:00+00:00,-1,0.04,4943.14,4964.247376715638,4942.990000000001,4964.397376715638,1,sl,-84.42950686255062,0.28,-85.90950686254772,10439.094982479164
2026-02-18 14:00:00+00:00,2026-02-18 15:00:00+00:00,-1,0.04,4954.48,4975.941849807377,4954.33,4976.091849807377,1,sl,-85.84739922951121,0.28,-87.3273992295083,10351.767583249655
2026-02-18 15:00:00+00:00,2026-02-19 06:00:00+00:00,-1,0.04,4991.79,5014.705289106851,4991.64,5014.90528910685,14,sl,-91.6611564274026,0.28,-93.34115642740042,10258.426426822254
2026-02-19 06:00:00+00:00,2026-02-19 07:00:00+00:00,-1,0.04,4996.99,5015.105573372727,4996.79,5015.305573372727,1,sl,-72.46229349090936,0.28,-74.3422934909079,10184.084133331346
2026-02-19 07:00:00+00:00,2026-02-19 10:00:00+00:00,-1,0.04,5018.55,4981.57964945065,5018.35,4981.72964945065,3,tp,147.88140219739944,0.28,146.20140219740162,10330.285535528747
